time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025500,365.3,141.1,1864.6,845.9,2479.1,347.5,354,1877.1,2524.5,169.6,66.3,14.3
0.027500,355.9,136.3,1859.3,776.6,2513.0,367.7,353.8,1863.4,2523.7,170.1,66.5,14.6
0.029500,350.6,124.5,1838.0,742.6,2537.0,349.1,353.4,1842.1,2522.3,170.5,66.8,14.6
0.031500,349.3,102.5,1803.5,734.9,2548.3,293.4,353,1815.6,2520.5,171,67.3,14.4
0.033500,350.5,80.8,1775.8,763.8,2550.0,247.5,352.5,1786.7,2518.3,171.5,67.9,14.2
0.035500,350.5,65.8,1769.2,831.5,2541.2,242.1,352.1,1758.6,2515.7,172,68.7,14.1
0.037500,348.5,57.1,1777.7,859.2,2522.2,267.3,351.7,1734.7,2512.9,172.5,69.4,14.1
0.039500,346.8,51.3,1767.0,746.6,2500.4,284.1,351.5,1718.1,2509.9,173.1,70.1,14.2
0.041500,348.1,47.3,1736.3,555.6,2485.9,277.0,351.4,1711.2,2506.8,173.6,70.7,14.5
0.043500,351.0,44.2,1718.3,416.1,2480.2,273.9,351.6,1716,2503.6,174.2,71.2,14.9
0.045500,353.3,41.7,1714.4,343.3,2479.6,247.3,351.9,1733.3,2500.5,174.8,71.6,15.2
0.047500,354.7,39.8,1722.6,322.6,2482.6,184.0,352.5,1763.2,2497.3,175.3,71.9,15.4
0.049500,355.4,38.4,1747.6,355.2,2488.7,137.1,353.2,1804.6,2494.3,175.9,72.1,15.4
0.051500,355.6,37.1,1797.4,447.3,2495.5,116.6,354.1,1855.8,2491.4,176.5,72.2,15.4
0.053500,355.7,35.9,1873.9,568.5,2500.3,111.1,355.1,1914.1,2488.7,177,72.3,15.3
0.055500,356.2,35.6,1972.7,658.8,2502.6,110.9,356.2,1976.5,2486.2,177.5,72.4,15.1
0.057500,357.9,37.1,2076.4,693.9,2502.2,116.3,357.3,2039.8,2483.9,178.1,72.4,14.8
0.059500,360.7,39.5,2160.9,698.7,2497.7,128.4,358.5,2100.7,2482,178.5,72.3,14.2
0.061500,363.9,41.4,2226.2,687.5,2488.6,147.1,359.5,2156.2,2480.4,179,72.2,13.3
0.063500,365.5,41.2,2268.1,651.4,2478.4,172.2,360.5,2204,2479.4,179.4,72.1,12.3
0.065500,364.9,40.2,2290.6,591.7,2471.2,207.3,361.5,2242.3,2478.8,179.8,72,11.5
0.067500,362.2,40.4,2289.0,545.4,2470.1,241.1,362.4,2270.1,2478.9,180.2,71.9,11.1
0.069500,357.6,42.7,2262.2,556.6,2472.4,247.4,363.3,2287.2,2479.7,180.5,71.7,11.2
0.071500,352.1,47.4,2219.7,611.4,2474.9,231.8,364.1,2294.3,2481.1,180.7,71.6,11.7
0.073500,350.1,55.4,2191.7,658.9,2479.0,214.9,364.9,2292.4,2483.2,180.9,71.5,12.4
0.075500,356.0,66.8,2201.0,678.9,2483.2,200.1,365.7,2283.4,2485.9,181.1,71.5,13.1
0.077500,369.1,75.8,2235.3,678.1,2483.5,182.4,366.5,2269.2,2489.2,181.3,71.5,13.5
0.079500,380.3,75.3,2266.1,653.7,2482.0,166.3,367.4,2251.9,2492.8,181.3,71.6,13.7
0.081500,383.7,68.2,2277.2,588.5,2486.2,157.7,368.2,2233.6,2496.6,181.4,71.7,13.9
0.083500,379.4,59.9,2263.4,496.7,2499.6,153.6,368.9,2215.9,2500.4,181.4,71.9,13.9
0.085500,372.8,51.6,2238.6,411.5,2514.7,143.1,369.6,2200.3,2503.9,181.4,72.1,13.9
0.087500,368.0,43.7,2219.1,345.9,2523.0,129.8,370.1,2187.7,2506.9,181.3,72.3,14
0.089500,365.8,37.3,2209.0,298.7,2524.3,118.0,370.3,2178.4,2509.1,181.2,72.5,14.1
0.091500,365.0,32.0,2200.5,259.5,2521.4,103.6,370.4,2172.6,2510.4,181,72.6,14.2
0.093500,364.7,28.8,2185.8,232.2,2515.8,85.8,370,2169.8,2510.5,180.8,72.7,14.2
0.095500,364.7,27.8,2163.2,219.3,2510.6,69.2,369.4,2169.3,2509.3,180.7,72.7,14.3
0.097500,365.4,28.8,2140.6,218.7,2508.3,59.8,368.4,2170.4,2506.9,180.4,72.7,14.4
0.099500,366.6,30.8,2129.6,224.9,2505.7,59.2,367,2172.2,2503.2,180.2,72.7,14.5
0.101500,367.4,33.1,2134.4,233.6,2497.2,66.2,365.3,2174.1,2498.5,179.9,72.6,14.5
0.103500,366.7,35.1,2150.1,241.5,2482.2,77.6,363.4,2175.3,2492.9,179.7,72.6,14.6
0.105500,364.5,36.5,2165.8,243.8,2466.9,89.3,361.3,2175.6,2486.8,179.4,72.6,14.7
0.107500,361.2,36.7,2174.9,235.5,2457.0,100.4,359.2,2175,2480.4,179.1,72.7,14.7
0.109500,357.7,35.5,2177.9,218.9,2454.1,112.3,357.1,2173.4,2474.2,178.8,72.8,14.8
0.111500,354.4,33.3,2179.2,193.4,2458.5,125.2,355.2,2171.3,2468.5,178.5,72.8,14.9
0.113500,352.4,31.0,2181.2,163.5,2469.1,133.6,353.5,2169,2463.6,178.3,72.8,15
0.115500,351.7,29.8,2182.0,137.8,2477.9,135.5,352.3,2166.9,2459.9,178,72.7,14.9
0.117500,351.5,29.9,2177.8,120.0,2477.5,133.2,351.5,2165.5,2457.6,177.7,72.6,14.5
0.119500,350.7,30.8,2168.0,106.4,2468.9,131.3,351.3,2165,2456.8,177.5,72.2,13.5
