time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,389.7,136.8,1326.8,294.2,1961.5,120.5,387.3,1331.4,1963.8,143.2,69,6.7
0.027000,407.5,152.5,1353.7,283.7,1978.6,104.7,408.8,1350.9,1976.3,143.9,69.1,6.1
0.029000,436.4,156.7,1383.6,270.4,1994.7,102.5,438.8,1380.6,1993.2,144.5,69.2,5.7
0.031000,471.1,142.8,1418.9,242.8,2010.1,114.1,471,1416.4,2010.9,145,69.5,5.4
0.033000,501.0,127.0,1451.8,204.4,2025.8,132.8,500.1,1452.8,2026.8,145.4,69.9,5.3
0.035000,523.0,122.3,1480.4,168.4,2040.0,148.8,522.8,1484.2,2040.2,145.7,70.4,5.3
0.037000,539.1,128.4,1505.0,138.2,2052.0,154.4,538.7,1507,2052,145.9,70.9,5.4
0.039000,550.1,139.8,1521.7,113.6,2064.1,147.5,549.1,1520.6,2063.9,146,71.3,5.8
0.041000,556.3,151.8,1529.9,96.9,2077.2,134.0,555.8,1527.6,2076.7,146.1,71.5,6.7
0.043000,558.7,164.4,1534.1,89.9,2090.7,119.8,560,1532.4,2090.1,146.1,71.7,7.7
0.045000,559.4,179.8,1538.9,91.3,2102.8,106.9,561.9,1538.5,2103,146,71.6,8.7
0.047000,559.9,195.4,1545.3,95.8,2112.8,96.0,560.8,1546.4,2114,145.8,71.5,9.2
0.049000,558.8,206.5,1550.9,97.9,2121.9,87.2,556,1553.2,2122.7,145.6,71.2,8.9
0.051000,551.8,215.2,1552.2,98.4,2130.6,81.4,547.8,1554.4,2129.6,145.3,70.7,8
0.053000,537.7,223.9,1546.5,101.1,2137.8,80.2,537.1,1546.3,2135.7,144.9,70.2,6.6
0.055000,521.3,228.1,1532.6,107.8,2142.0,84.5,525.7,1529.5,2141.6,144.4,69.4,5.1
0.057000,509.8,224.6,1513.6,117.1,2143.5,93.3,515.6,1508.7,2147,143.8,68.5,3.7
0.059000,507.1,216.8,1494.8,130.5,2146.8,109.0,508.8,1491.6,2151.1,143.1,67.4,2.7
0.061000,514.0,206.6,1476.8,154.2,2158.3,143.3,506.4,1485,2152.6,142.3,66.2,1.8
