file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
common_voice_sq_38022033-36-002_0001,182.5,0.088,u,23,Olive,1,5000,594,1638,2811,782,1395,2500,572,1266,2466,517,1191,2364,537,1157,2343
common_voice_sq_38022033-36-002_0002,199.5,0.116,ɔ,30,Navy,2,5150,406,1158,2254,449,1241,2315,483,1340,2425,499,1274,2481,452,1469,2213
common_voice_sq_38022033-36-002_0003,205.9,0.09,ɑ,25,Magenta,3,5450,646,1262,2516,636,1264,2562,644,1249,2558,637,1213,2503,616,1188,2512
common_voice_sq_38022033-36-002_0004,177.9,0.044,ɑ,25,Magenta,4,6200,557,1090,2592,560,1108,2579,621,1112,2545,623,1150,2508,622,1143,2408
common_voice_sq_38022033-36-002_0005,194.7,0.154,ɔ,30,Navy,5,6200,498,1032,2698,533,996,2720,509,989,2969,508,926,2947,481,1225,3062
common_voice_sq_38022033-36-002_0006,182.3,0.038,ɑ,25,Magenta,6,4700,526,1271,2438,590,1240,2496,601,1333,2668,594,1452,2698,630,1499,2673
common_voice_sq_38022033-36-002_0007,167.6,0.038,ɑ,25,Magenta,7,6500,753,1585,3012,729,1590,3094,672,1580,3050,686,1547,2856,636,1484,2983
common_voice_sq_38022033-36-002_0008,148.7,0.06,ɑ,25,Magenta,8,5600,535,1402,2447,570,1257,2313,655,1334,2526,637,1298,2524,621,1231,2423
common_voice_sq_38022033-36-002_0009,192.2,0.136,ɑ,25,Magenta,9,5450,521,1323,2482,593,1285,2524,747,1365,2548,719,1365,2565,743,1310,2642
common_voice_sq_38022033-36-002_0010,190.6,0.14,u,23,Olive,10,5000,457,1341,2539,408,1304,2716,383,1240,2669,375,809,2700,377,696,2800
common_voice_sq_38022033-36-002_0011,162.8,0.04,ɑ,25,Magenta,11,5750,538,998,2524,534,1038,2499,545,1112,2520,594,1112,2497,600,1079,2469
common_voice_sq_38022033-36-002_0012,151.9,0.06,ɔ,30,Navy,12,4700,496,912,1592,470,907,1910,438,967,2129,441,1024,2103,411,1119,2005
common_voice_sq_38022033-36-002_0013,153.9,0.046,ɑ,25,Magenta,13,5150,542,1392,2231,610,1418,2326,643,1430,2422,630,1385,2483,617,1286,2392
common_voice_sq_38022033-36-002_0014,152.4,0.094,u,23,Olive,14,6350,479,1042,3058,417,870,2821,389,1024,2885,329,981,2871,317,1059,2733
common_voice_sq_38022033-36-002_0015,119.9,0.224,i,19,Red,15,5600,245,2107,2644,240,2391,2695,248,2509,2783,274,2513,2829,288,2594,2987
common_voice_sq_38022033-36-004_0001,190.8,0.092,ɑ,25,Magenta,16,5300,437,1867,2925,504,1627,2766,580,1586,2642,686,1630,2396,629,1777,2496
common_voice_sq_38022033-36-004_0002,214.3,0.086,i,19,Red,17,5450,403,1940,2450,385,1988,2497,362,1811,2515,356,2047,2499,338,1790,2551
common_voice_sq_38022033-36-004_0003,211.1,0.096,ɑ,25,Magenta,18,6650,541,1353,2685,653,1549,3085,667,1520,2770,658,1598,2886,619,1767,3006
common_voice_sq_38022033-36-004_0004,194.4,0.096,ɑ,25,Magenta,19,5450,720,1221,2372,731,1356,2492,769,1420,2423,631,1575,2481,593,1583,2304
common_voice_sq_38022033-36-004_0005,194.8,0.118,u,23,Olive,20,5300,367,1366,2282,397,1396,2510,398,1391,2503,374,1271,2499,387,1130,2579
common_voice_sq_38022033-36-004_0006,175.7,0.122,ɛ,28,Purple,21,5900,453,1308,2633,471,1594,2544,524,1923,2484,508,1990,2531,493,1978,2517
common_voice_sq_38022033-36-004_0007,168.5,0.054,u,23,Olive,22,5450,373,1318,2507,351,1357,2518,336,1528,2543,331,1998,2480,349,2145,2457
common_voice_sq_38022033-36-004_0008,162.4,0.08,i,19,Red,23,4700,306,2273,2744,329,2333,2662,328,2480,2494,379,2396,2799,392,2195,2572
common_voice_sq_38022033-36-004_0009,186.2,0.098,i,19,Red,24,6200,396,2166,3281,411,2188,2598,391,2285,2719,398,2297,2721,408,2380,2767
common_voice_sq_38022033-36-004_0010,200.9,0.042,i,19,Red,25,5900,396,2116,2567,400,2306,2613,411,2349,2663,415,2320,2718,413,2216,2766
common_voice_sq_38022033-36-004_0011,190.6,0.044,ɑ,25,Magenta,26,6950,486,1592,2853,548,1658,3044,586,1711,2997,663,1727,3043,661,1697,3041
common_voice_sq_38022033-36-004_0012,189.6,0.13,ɑ,25,Magenta,27,6800,640,1571,2952,713,1628,2829,768,1636,2713,707,1686,2730,626,1730,2909
common_voice_sq_38022033-36-004_0013,144,0.084,ɛ,28,Purple,28,6350,463,2078,2717,441,2296,2677,445,2399,2707,451,2020,2599,482,1982,2687
common_voice_sq_38022033-36-004_0014,201,0.09,u,23,Olive,29,5900,405,1643,2697,402,1523,2643,405,1454,2705,400,832,2665,388,896,2584
common_voice_sq_38022033-36-004_0015,182.1,0.096,ɑ,25,Magenta,30,5750,521,1130,2506,585,1181,2495,638,1314,2533,651,1449,2568,651,1580,2619
common_voice_sq_38022033-36-004_0016,209.3,0.036,i,19,Red,31,6650,649,2584,3674,332,2345,3602,351,2396,3532,397,2386,3190,411,2337,2919
common_voice_sq_38022033-36-004_0017,179.2,0.064,ɑ,25,Magenta,32,5750,551,1649,2722,577,1627,2619,606,1594,2594,600,1564,2641,606,1382,2673
common_voice_sq_38022033-36-004_0018,201.8,0.062,ɑ,25,Magenta,33,5150,675,1273,2793,645,1368,2494,739,1419,2518,743,1425,2541,593,1433,2574
common_voice_sq_38022033-36-004_0019,189.2,0.096,ɑ,25,Magenta,34,6350,686,1647,2744,631,1639,2568,709,1609,2513,627,1676,2668,563,1810,2899
common_voice_sq_38022033-36-004_0020,177.6,0.082,i,19,Red,35,5300,300,2315,3169,328,2455,3211,337,2476,3028,348,2461,3138,352,2475,2905
common_voice_sq_38022033-36-004_0021,149.6,0.094,i,19,Red,36,7100,326,2540,3980,304,2518,3804,301,2583,3809,309,2519,3857,322,2483,3790
common_voice_sq_38022033-36-004_0022,143,0.07,u,23,Olive,37,6500,348,2545,3764,398,2592,3815,405,2540,3872,377,2653,3861,477,2767,3919
common_voice_sq_38022033-36-004_0023,134.6,0.128,ɑ,25,Magenta,38,6050,444,2129,2535,535,1988,2530,554,1852,2575,622,1776,2619,635,1777,2629
common_voice_sq_38022033-36-004_0024,133.4,0.16,ɑ,25,Magenta,39,6050,611,1789,2748,749,1727,2494,788,1623,2405,724,1579,2402,736,1617,2637
common_voice_sq_38022033-36-006_0001,173.2,0.048,ɛ,28,Purple,40,6350,459,1930,3013,458,1931,2783,501,1985,2717,499,2046,2752,483,2043,2828
common_voice_sq_38022033-36-006_0002,231.6,0.096,ɛ,28,Purple,41,5300,514,2183,2815,511,2151,2783,502,2143,2761,506,1992,2720,523,1305,2209
common_voice_sq_38022033-36-006_0003,260.7,0.06,u,23,Olive,42,4850,413,1071,2135,439,721,2129,418,775,2144,446,905,2154,450,1159,2215
common_voice_sq_38022033-36-006_0004,213.1,0.05,ɑ,25,Magenta,43,6200,528,2159,2754,564,2097,2538,610,2023,2515,593,2086,2509,519,2149,2654
common_voice_sq_38022033-36-006_0005,222.7,0.086,i,19,Red,44,6050,402,2442,3757,355,2495,3400,379,2612,3433,412,2700,3597,412,2684,3494
common_voice_sq_38022033-36-006_0006,207.7,0.06,i,19,Red,45,7550,384,2646,4316,407,2657,3913,401,2637,3593,383,2560,3600,402,2557,3706
common_voice_sq_38022033-36-006_0007,179.7,0.038,ɑ,25,Magenta,46,5600,561,2056,2830,538,2038,2840,534,1961,2815,542,1895,2793,525,1822,2700
common_voice_sq_38022033-36-006_0008,176.5,0.07,i,19,Red,47,5600,390,2379,2764,356,2440,3062,353,2440,2969,354,2429,2754,343,2198,2654
common_voice_sq_38022033-36-006_0009,142.1,0.062,ɑ,25,Magenta,48,6050,520,1648,2718,594,1698,2699,691,1682,2661,739,1581,2648,796,1621,2618
common_voice_sq_38022033-36-006_0010,185.4,0.098,ɑ,25,Magenta,49,5600,572,1633,2647,785,1527,2600,884,1584,2629,766,1622,2653,653,1794,2578
common_voice_sq_38022033-36-006_0011,206.3,0.072,ɑ,25,Magenta,50,5750,623,1649,2478,618,1699,2645,672,1639,2585,680,1553,2424,586,1497,2506
common_voice_sq_38022033-36-006_0012,157.3,0.06,ɑ,25,Magenta,51,6350,472,1274,2703,608,1394,2663,625,1499,2677,632,1625,2713,582,1962,2734
common_voice_sq_38022033-36-006_0013,203.8,0.104,i,19,Red,52,4850,595,2298,2923,389,2454,2938,344,2481,2741,296,2475,2837,319,2474,2938
common_voice_sq_38022033-36-006_0014,194.4,0.106,i,19,Red,53,5150,867,2643,3281,373,2485,3206,311,2521,2926,354,2507,2804,367,2456,2702
common_voice_sq_38022033-36-006_0015,161.6,0.05,ɑ,25,Magenta,54,7550,558,1971,3788,601,1824,3760,659,1783,3722,659,1682,3580,577,1618,3559
common_voice_sq_38022033-36-006_0016,185.5,0.118,ɑ,25,Magenta,55,6350,479,2190,2963,560,2021,2821,543,1858,2700,616,1697,2653,619,1502,2620
common_voice_sq_38022033-36-006_0017,177.3,0.206,ɑ,25,Magenta,56,6200,546,1279,2534,632,1496,2613,727,1579,2655,811,1553,2597,794,1733,2694
common_voice_sq_38022033-36-008_0001,218.7,0.072,ɑ,25,Magenta,57,6200,602,1741,2417,695,1718,2454,680,1807,2557,633,1978,2466,648,1855,2512
common_voice_sq_38022033-36-008_0002,223.4,0.126,i,19,Red,58,5750,497,2077,3130,274,2332,3231,270,2490,3368,345,2470,3350,394,2473,3347
common_voice_sq_38022033-36-008_0003,186.3,0.056,ɑ,25,Magenta,59,6200,566,2094,2408,612,1959,2367,569,1810,2427,560,1661,2456,610,1531,2404
common_voice_sq_38022033-36-008_0004,194.5,0.066,ɑ,25,Magenta,60,5900,738,1276,2603,771,1376,2508,777,1401,2516,757,1474,2582,697,1522,2573
common_voice_sq_38022033-36-008_0005,186.7,0.102,ɑ,25,Magenta,61,5900,515,1713,2255,651,1762,2430,640,1658,2485,709,1609,2380,708,1585,2394
common_voice_sq_38022033-36-008_0006,139.3,0.054,ɑ,25,Magenta,62,6500,494,1698,2582,572,1673,2816,644,1650,2764,637,1574,2659,600,1547,2506
