time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,637.4,403.5,1266.4,220.3,3027.8,80.8,647.5,1290.3,3040.3,195.2,82.3,16.5
0.028000,676.4,314.2,1298.8,210.2,3030.6,69.4,654.4,1295.6,3038,195.5,83.1,13.5
0.030000,673.9,259.7,1312.0,189.1,3032.9,66.9,665.2,1304.5,3034.4,195.8,83.8,10.8
0.032000,674.0,215.2,1323.5,167.8,3034.3,67.8,679.2,1317.2,3029.8,196.1,84.5,8
0.034000,684.2,184.1,1338.7,152.0,3034.2,71.5,695.4,1333.5,3024.7,196.5,85,5.5
0.036000,702.6,159.9,1359.2,143.5,3031.0,81.0,712.5,1353.4,3019.8,196.8,85.3,3.4
0.038000,724.2,139.6,1383.4,145.9,3023.9,103.2,729.6,1376.6,3015.9,197.1,85.4,2.3
0.040000,744.3,120.2,1408.9,158.5,3014.9,148.7,745.8,1402.5,3013.8,197.4,85.3,2.1
0.042000,761.6,101.9,1431.9,173.2,3011.5,220.1,760.4,1430.3,3014.3,197.8,85.2,2.8
0.044000,776.1,89.6,1452.5,180.8,3016.9,283.7,773.1,1459,3018,198.1,84.9,4
0.046000,788.7,84.5,1476.0,183.4,3025.2,308.3,783.5,1487.4,3025,198.4,84.7,5.5
0.048000,797.9,86.2,1502.2,186.0,3033.9,303.4,791.9,1514.4,3035.4,198.7,84.4,6.8
0.050000,803.8,93.0,1531.7,189.0,3046.6,300.8,798.4,1539,3048.2,199.1,84.2,8.3
0.052000,806.6,102.5,1562.1,186.6,3062.4,310.5,803.2,1560.3,3062.1,199.4,83.9,10
0.054000,806.6,111.2,1585.7,175.7,3074.5,328.1,806.5,1577.8,3075.4,199.7,83.6,11.8
0.056000,805.0,117.4,1600.1,160.7,3078.2,351.1,808.6,1591.4,3085.9,200,83.4,13.3
0.058000,803.7,119.1,1606.7,149.6,3073.2,378.2,809.5,1601.3,3091.2,200.3,83.2,14.3
0.060000,803.2,116.8,1609.9,145.5,3066.4,409.1,809.2,1608.2,3089.4,200.6,83,14.7
0.062000,803.3,112.5,1612.1,147.6,3065.3,439.9,807.9,1612.9,3079,200.9,82.9,14.5
0.064000,803.9,108.7,1614.7,152.1,3070.5,464.1,805.5,1616.4,3059.3,201.2,82.8,14.1
0.066000,804.4,106.6,1619.2,157.4,3074.3,484.4,802.2,1619.7,3030.8,201.5,82.7,13.7
0.068000,803.0,107.4,1625.5,170.6,3059.5,524.3,798.5,1623.6,2995.2,201.8,82.6,13.5
0.070000,798.8,112.5,1631.3,203.2,3004.5,617.2,794.8,1628.6,2955.3,202,82.5,13.7
0.072000,794.0,122.0,1633.0,256.0,2900.5,711.1,791.9,1635.1,2915,202.3,82.4,14
0.074000,791.2,136.0,1632.6,314.8,2810.2,702.5,790.6,1642.9,2878.7,202.6,82.3,14.3
0.076000,791.5,155.8,1638.1,370.2,2781.6,634.8,792,1651.7,2850.9,202.8,82.2,14.6
0.078000,795.6,177.1,1655.6,391.8,2801.6,556.5,796.6,1660.8,2835.6,203.1,82.2,14.5
0.080000,803.6,196.3,1678.2,352.1,2833.9,482.7,805.3,1669.6,2836,203.3,82.1,14.1
0.082000,817.4,214.5,1692.0,279.0,2867.1,441.0,818.2,1677.2,2853.7,203.5,82.2,13.4
0.084000,837.1,232.9,1696.3,224.4,2913.3,431.2,835.2,1683.3,2888.6,203.8,82.2,12.6
0.086000,861.8,249.8,1695.5,194.7,2977.4,427.4,855.6,1687.4,2938.7,204,82.3,11.7
0.088000,883.1,264.9,1689.8,181.5,3038.7,413.6,878.4,1689.4,3000.3,204.2,82.3,11
0.090000,896.5,290.0,1679.3,167.2,3088.1,395.2,902,1689.7,3067.9,204.4,82.3,10.3
0.092000,908.2,339.5,1670.0,142.2,3134.3,370.5,924.7,1688.6,3135.5,204.7,82.3,9.7
0.094000,929.3,414.2,1669.3,119.3,3178.5,342.9,944.8,1686.8,3196.6,204.9,82.3,9.1
0.096000,964.1,487.8,1677.7,105.3,3223.4,323.9,960.5,1684.9,3245.3,205,82.3,8.6
0.098000,985.7,498.2,1692.1,95.4,3261.3,310.6,970.5,1683.6,3276.6,205.2,82.3,8.2
0.100000,980.4,465.1,1706.1,82.9,3285.6,298.4,974,1683.1,3287.4,205.4,82.2,8.1
