time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,480.5,62.8,2082.2,35.3,3039.9,682.3,490.5,2078.3,3058.5,236.2,82.5,5.3
0.028000,491.9,43.5,2090.5,28.0,3081.7,563.9,489.9,2087.3,3081.3,236.4,84,4.9
0.030000,495.1,34.7,2099.7,24.6,3118.4,517.3,489.2,2099.8,3114,236.6,85.2,5
0.032000,494.1,30.8,2108.4,23.3,3157.0,506.7,488.6,2113,3150,236.7,86.2,5.4
0.034000,490.9,29.6,2117.2,23.5,3194.5,513.0,488,2124.5,3182.4,236.7,86.9,6
0.036000,487.0,29.8,2127.3,24.8,3220.2,514.3,487.7,2133,3205.5,236.8,87.3,7.1
0.038000,484.0,30.7,2139.6,27.3,3223.3,480.2,487.4,2139.3,3216.3,236.8,87.6,8.5
0.040000,483.2,32.3,2152.6,31.7,3205.4,398.5,486.9,2145.4,3214.5,236.7,87.6,10.8
0.042000,484.1,34.8,2165.0,39.1,3183.0,300.1,486.1,2154.5,3202.9,236.7,87.6,13.5
0.044000,485.1,38.0,2176.2,51.0,3168.1,224.8,485,2169.5,3186.2,236.6,87.5,16.1
0.046000,485.0,41.2,2189.1,69.3,3161.6,180.4,483.6,2192,3169.8,236.5,87.3,18.2
0.048000,483.4,43.5,2210.4,96.5,3162.7,158.6,482.2,2221.8,3158.5,236.4,87.2,19.2
0.050000,481.9,44.6,2244.5,129.3,3170.9,152.7,481.2,2256.6,3155.6,236.3,87.1,19.5
0.052000,481.8,45.5,2291.1,159.8,3182.9,156.5,480.9,2292.3,3162.2,236.2,87,19.2
0.054000,482.9,46.8,2335.5,172.4,3193.6,165.6,481.5,2324.5,3177.2,236,86.9,18.7
0.056000,483.9,49.6,2359.7,166.3,3200.9,177.7,482.7,2349.3,3197.9,235.9,86.7,18
0.058000,483.7,54.6,2365.5,157.8,3208.4,197.9,483.9,2364.5,3221.2,235.7,86.6,17.5
0.060000,482.0,61.6,2363.6,156.0,3221.5,231.8,484.3,2369.8,3243.6,235.6,86.3,16.8
0.062000,479.1,70.9,2361.1,154.6,3242.4,279.6,482.7,2367.5,3262.7,235.4,86,16.1
0.064000,475.6,81.5,2359.5,143.4,3267.7,317.2,478.5,2360.7,3277.2,235.2,85.7,15.2
0.066000,471.3,92.1,2357.6,126.3,3291.2,312.7,471.4,2353.2,3286.9,234.9,85.3,14.5
0.068000,464.7,103.3,2353.9,115.6,3310.6,279.6,461.5,2348,3292.3,234.7,85,14
0.070000,454.8,117.7,2347.9,117.9,3320.5,256.8,449.9,2346.4,3294.5,234.4,84.7,13.6
0.072000,442.0,140.1,2341.1,134.0,3317.5,264.7,438.1,2348.4,3294.9,234.1,84.4,13.2
0.074000,428.9,170.2,2340.5,160.1,3300.9,311.8,427.9,2352.1,3294.5,233.8,84.2,13
0.076000,418.9,197.4,2352.0,189.1,3278.0,390.1,421,2355.6,3293.9,233.4,84.1,12.8
0.078000,413.1,212.6,2372.7,215.6,3265.3,475.3,418.5,2357,3293.7,233,83.9,12.7
