file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
common_voice_sq_38022135-39-002_0001,168.4,0.062,ɑ,25,Magenta,1,6650,469,1450,2287,576,1592,2396,587,1847,2400,546,2052,2422,482,2104,2678
common_voice_sq_38022135-39-002_0002,202.3,0.096,ɛ,28,Purple,2,6500,382,2250,3100,416,2247,3158,424,2229,3165,421,2232,3102,360,2192,3458
common_voice_sq_38022135-39-002_0003,203,0.036,i,19,Red,3,5150,378,2125,3162,364,2180,3169,376,2174,2920,383,2127,2576,395,2040,2432
common_voice_sq_38022135-39-002_0004,159.3,0.048,ɑ,25,Magenta,4,5600,461,1145,2459,627,1227,2366,642,1347,2380,631,1497,2363,624,1604,2332
common_voice_sq_38022135-39-002_0005,160.6,0.048,ɛ,28,Purple,5,6350,553,1840,2380,537,1964,2476,497,1990,2428,488,1987,2413,639,1588,2373
common_voice_sq_38022135-39-002_0006,173.6,0.122,ɑ,25,Magenta,6,5450,596,1673,2438,639,1533,2383,715,1544,2389,656,1541,1989,606,1542,1886
common_voice_sq_38022135-39-002_0007,160.9,0.084,i,19,Red,7,5450,348,1234,2548,354,1204,2545,349,1227,2560,345,1203,2561,376,1181,2448
common_voice_sq_38022135-39-002_0008,176.8,0.044,u,23,Olive,8,5450,570,1177,2608,358,1178,2664,349,1115,2627,346,1142,2632,338,1191,2533
common_voice_sq_38022135-39-002_0009,167,0.048,i,19,Red,9,5000,336,1293,2479,342,1382,2440,341,1209,2474,338,1041,2497,340,1128,2683
common_voice_sq_38022135-39-002_0010,205.2,0.126,i,19,Red,10,5900,352,2203,3499,325,2104,3545,305,2479,3409,339,2466,3356,376,2301,3056
common_voice_sq_38022135-39-002_0011,162.2,0.072,ɑ,25,Magenta,11,4700,505,2091,2407,589,1908,2217,603,1820,2211,600,1781,2318,564,1723,2232
common_voice_sq_38022135-39-002_0012,137.4,0.046,ɔ,30,Navy,12,4700,455,1199,2059,465,1142,2336,486,1117,2456,514,1133,2602,495,1129,2579
common_voice_sq_38022135-39-002_0013,180.5,0.134,ɑ,25,Magenta,13,4700,716,1252,2203,653,1452,2159,610,1507,2158,784,1540,2022,626,1761,1830
common_voice_sq_38022135-39-002_0014,175.7,0.074,i,19,Red,14,4700,633,1720,2506,367,1693,2399,359,1940,2453,367,2066,2438,399,2196,2424
common_voice_sq_38022135-39-002_0015,168.2,0.046,ɑ,25,Magenta,15,4700,500,2142,2346,524,2058,2312,530,1938,2336,529,1833,2236,593,1704,2207
common_voice_sq_38022135-39-002_0016,158,0.036,u,23,Olive,16,6950,495,2146,3589,533,2321,3758,509,2305,3814,554,2283,3942,506,2324,3895
common_voice_sq_38022135-39-002_0017,145.8,0.06,ɑ,25,Magenta,17,5300,539,1468,2369,605,1516,2419,586,1545,2437,561,1563,2403,550,1543,2301
common_voice_sq_38022135-39-002_0018,144.8,0.054,i,19,Red,18,6950,324,2384,3658,292,2372,3753,298,2461,3785,299,2334,3820,292,2325,3727
common_voice_sq_38022135-39-002_0019,151.6,0.07,i,19,Red,19,6050,292,2285,3387,303,2461,3361,307,2438,3280,321,2371,3255,467,2257,3208
common_voice_sq_38022135-39-002_0020,157,0.132,ɑ,25,Magenta,20,6650,546,2034,3102,658,1885,2604,732,1752,2476,737,1719,2494,686,1688,2411
common_voice_sq_38022135-39-002_0021,148.5,0.12,ɑ,25,Magenta,21,5300,587,1507,2042,752,1666,2256,701,1638,2338,731,1655,2271,684,1604,2260
common_voice_sq_38022135-39-002_0022,126.8,0.116,ɑ,25,Magenta,22,6350,616,1596,2290,670,1614,2369,794,1628,2436,854,1621,2434,984,1588,2257
common_voice_sq_38022135-39-002_0023,144.5,0.122,ɑ,25,Magenta,23,4700,901,1542,1902,870,1516,1821,858,1464,1910,842,1565,1890,701,1611,1867
common_voice_sq_38022135-39-002_0024,131,0.152,ɑ,25,Magenta,24,5450,565,1375,2443,606,1487,2420,666,1543,2438,680,1525,2493,744,1471,2452
common_voice_sq_38022135-39-004_0001,173.7,0.052,ɔ,30,Navy,25,5900,424,889,2375,411,1018,2521,424,1142,2542,442,1399,2443,428,1505,2413
common_voice_sq_38022135-39-004_0002,215.8,0.116,i,19,Red,26,6650,223,2530,3373,318,2503,3413,286,2476,3579,298,2483,3606,271,2452,3719
common_voice_sq_38022135-39-004_0003,214.8,0.1,ɔ,30,Navy,27,5150,449,1653,2490,452,1356,2486,477,1287,2584,497,1293,2573,476,1476,2463
common_voice_sq_38022135-39-004_0004,184.2,0.064,ɑ,25,Magenta,28,6200,584,2040,2633,559,1992,2607,601,1920,2415,545,1970,2539,453,1924,2594
common_voice_sq_38022135-39-004_0005,176,0.042,ɑ,25,Magenta,29,5300,594,1630,2383,592,1658,2375,608,1598,2417,632,1445,2426,586,1244,2462
common_voice_sq_38022135-39-004_0006,186.7,0.118,ɑ,25,Magenta,30,5750,842,1261,2520,630,1398,2251,698,1538,2426,673,1714,2667,561,1922,2608
common_voice_sq_38022135-39-004_0007,183.1,0.038,i,19,Red,31,5600,457,1721,3035,428,1792,3010,358,2045,2689,372,2257,2482,373,1965,2453
common_voice_sq_38022135-39-004_0008,144.9,0.036,ɑ,25,Magenta,32,5000,408,1354,1979,512,1466,2033,558,1532,2084,555,1549,2126,512,1504,2145
common_voice_sq_38022135-39-004_0009,159.2,0.05,ɛ,28,Purple,33,6050,519,1599,2525,428,1622,2269,453,1721,2383,467,1906,2485,458,2042,2461
common_voice_sq_38022135-39-004_0010,153.4,0.042,ɛ,28,Purple,34,4700,436,1971,2335,450,2057,2402,455,2064,2391,457,2101,2451,462,2051,2442
common_voice_sq_38022135-39-004_0011,195.4,0.134,ɛ,28,Purple,35,6500,349,2227,2574,429,2254,2774,434,2301,2709,446,2269,2755,585,2194,2641
common_voice_sq_38022135-39-004_0012,196.6,0.1,ɑ,25,Magenta,36,5750,621,2008,2522,661,1942,2522,677,1799,2505,560,1763,2277,546,1729,2532
common_voice_sq_38022135-39-004_0013,174,0.044,u,23,Olive,37,5150,547,1796,2693,454,1527,2450,385,1133,2304,388,1023,2404,428,1037,2448
common_voice_sq_38022135-39-004_0014,148,0.038,ɑ,25,Magenta,38,5900,465,1446,2600,574,1515,2582,621,1602,2582,657,1699,2573,634,1760,2590
common_voice_sq_38022135-39-004_0015,177.8,0.094,i,19,Red,39,4700,351,1778,2522,356,1836,2492,362,2262,2478,366,2205,2513,356,2176,2469
common_voice_sq_38022135-39-004_0016,138.3,0.076,ɔ,30,Navy,40,6500,428,1608,2549,436,1423,2601,491,1250,2584,467,1208,2575,465,1379,2543
common_voice_sq_38022135-39-004_0017,132.6,0.034,i,19,Red,41,5600,330,1943,2535,373,2021,2555,383,2133,2539,397,2097,2453,387,2003,2443
common_voice_sq_38022135-39-004_0018,144,0.066,ɛ,28,Purple,42,7550,390,2164,3633,451,2123,3575,450,2216,3588,440,2234,3374,416,2194,3275
common_voice_sq_38022135-39-004_0019,174.9,0.126,ɛ,28,Purple,43,4700,302,1966,2625,467,2112,2341,489,2165,2406,464,2224,2462,415,2155,2497
common_voice_sq_38022135-39-004_0020,183.8,0.082,ɛ,28,Purple,44,5450,424,1738,2391,489,1943,2568,484,2062,2564,500,2189,2741,439,2235,2893
common_voice_sq_38022135-39-004_0021,166.3,0.114,ɑ,25,Magenta,45,6200,456,1769,2464,533,1684,2490,655,1691,2473,656,1720,2501,603,1767,2799
common_voice_sq_38022135-39-004_0022,159.6,0.068,i,19,Red,46,7550,331,2098,4354,431,2320,3692,417,2357,3365,349,2437,3400,361,2434,3453
common_voice_sq_38022135-39-004_0023,140.8,0.06,ɑ,25,Magenta,47,6200,551,2044,2825,562,2017,2621,565,2002,2690,545,2012,2807,532,2082,3117
