time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025500,340.5,57.5,2505.2,150.2,3763.6,32.4,341.9,2521.2,3757.6,144.3,69.4,15.2
0.027500,345.2,66.0,2521.6,162.1,3762.4,34.8,342.3,2522.8,3759.6,144.3,69,14.9
0.029500,347.8,75.7,2534.3,184.1,3762.5,37.6,343.3,2525.7,3762.8,144.2,68.7,14.6
0.031500,348.0,86.4,2544.5,215.0,3763.5,39.6,345.2,2530.5,3766.9,144.1,68.3,14.3
0.033500,348.2,96.7,2550.9,246.0,3765.9,40.6,348.3,2537.4,3771.6,144,68,14.2
0.035500,351.3,108.1,2551.2,282.7,3770.9,42.1,353,2546.4,3776.7,143.9,67.8,14.3
0.037500,356.2,119.1,2546.6,342.9,3778.3,45.4,359.5,2557.2,3782,143.8,67.6,14.6
0.039500,360.9,127.0,2546.5,418.2,3786.8,49.7,367.6,2568.9,3787.5,143.7,67.5,15.2
0.041500,366.9,137.9,2564.5,455.4,3796.1,53.9,377.3,2580.4,3793.2,143.6,67.4,15.9
0.043500,378.6,160.3,2592.2,411.9,3805.7,57.3,387.9,2590.1,3799.3,143.5,67.3,16.6
0.045500,398.3,188.8,2608.8,343.7,3814.5,60.9,398.7,2596.5,3806,143.4,67.2,17
0.047500,420.3,211.9,2612.0,310.7,3821.0,66.5,408.8,2598.5,3813.5,143.3,67.1,17
0.049500,437.1,232.6,2605.6,329.1,3824.3,77.6,417.4,2595.5,3821.6,143.2,67,16.9
0.051500,442.0,255.1,2592.1,399.4,3824.0,96.0,423.6,2587.7,3830.2,143.1,67,16.7
0.053500,431.3,270.1,2575.7,484.4,3822.9,113.8,426.8,2576,3839.1,143,67,16.5
0.055500,415.3,265.3,2560.1,496.9,3832.1,110.2,426.5,2562.4,3847.6,142.9,67,16.4
0.057500,407.2,246.0,2540.4,431.8,3854.7,86.4,422.7,2549.4,3855.3,142.8,67.1,16.5
0.059500,404.6,216.8,2522.0,364.4,3872.4,66.9,415.8,2539.7,3861.5,142.8,67.2,16.6
0.061500,398.6,183.7,2519.7,325.6,3879.0,57.4,406.5,2535.8,3865.7,142.7,67.4,16.8
0.063500,391.1,155.6,2535.7,309.2,3878.4,54.5,395.8,2539.7,3867.8,142.7,67.6,17
0.065500,384.9,128.0,2568.5,287.1,3871.8,55.1,384.9,2552.4,3867.8,142.6,67.8,17.1
0.067500,380.8,103.8,2600.7,249.6,3860.6,53.6,375.2,2573.7,3866,142.6,68,17.1
0.069500,377.1,87.0,2623.0,221.1,3851.2,45.5,367.9,2602.3,3863.2,142.5,68.1,17
0.071500,374.6,82.4,2637.7,232.9,3850.4,34.7,364.2,2635.9,3860.3,142.5,68.2,16.9
0.073500,374.2,90.6,2653.0,314.0,3856.2,25.8,364.8,2671.1,3858.4,142.5,68.2,16.9
0.075500,375.0,109.3,2681.5,498.5,3862.7,20.7,370.2,2704.6,3858.4,142.5,68.1,17
0.077500,377.7,136.3,2727.3,798.6,3867.1,19.7,380.3,2733.2,3861.2,142.5,67.9,17.4
0.079500,386.8,171.4,2759.2,1119.3,3871.0,21.6,394.7,2754.5,3867.2,142.5,67.6,18.2
0.081500,404.7,209.2,2758.9,1278.1,3878.0,24.9,412.5,2767,3876.4,142.5,67.3,18.9
0.083500,426.6,242.1,2763.0,1205.8,3889.2,28.1,432.4,2770.7,3888.2,142.5,66.9,19.1
0.085500,449.7,269.2,2772.5,1030.7,3901.4,30.4,453,2766.8,3901.8,142.5,66.4,18.5
0.087500,470.4,282.7,2776.1,897.4,3912.7,32.6,472.6,2757.6,3915.8,142.5,65.8,16.6
0.089500,483.7,278.3,2776.4,852.1,3924.4,34.8,489.8,2745.9,3928.8,142.5,65.2,13.7
0.091500,494.7,265.9,2770.2,858.8,3937.2,35.0,503.2,2734.8,3939.3,142.5,64.4,10.4
0.093500,513.7,248.3,2730.4,805.2,3947.4,32.2,511.7,2726.9,3946.1,142.5,63.6,7.2
0.095500,537.1,225.0,2655.0,591.7,3952.3,29.0,514.6,2724,3948.5,142.5,62.7,4.7
