time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025500,699.9,177.2,1250.9,183.2,2504.2,1058.5,722.8,1262.5,2563.8,194.8,76.2,7.8
0.027500,715.7,171.2,1256.7,154.8,2581.7,888.2,724.8,1266.1,2570.9,194.8,76.3,8.1
0.029500,731.7,163.4,1267.4,142.7,2620.1,721.3,728.2,1272.5,2580.2,194.9,76.4,8.5
0.031500,744.7,149.6,1284.4,135.9,2626.1,596.6,733.1,1282,2588.7,194.9,76.4,8.8
0.033500,753.6,131.4,1306.1,126.9,2615.1,515.3,739.5,1294.8,2593.1,194.9,76.3,9
0.035500,760.2,110.8,1327.5,112.0,2591.6,467.9,747.3,1310.7,2590.8,194.9,76.3,9
0.037500,766.4,88.1,1345.7,89.2,2553.1,429.0,755.9,1329.1,2580.6,195,76.3,9
0.039500,770.7,70.8,1358.1,67.0,2521.6,373.9,764.6,1348.6,2562.8,195,76.4,8.9
0.041500,772.4,61.3,1367.8,50.7,2509.5,313.0,772.8,1367.6,2539.8,195,76.6,8.9
0.043500,771.9,59.5,1375.9,41.5,2508.0,267.0,779.4,1384.1,2515,195,76.8,9
0.045500,771.0,62.4,1382.4,36.9,2507.0,238.0,783.8,1396.6,2492.7,195,77.1,9.3
0.047500,770.6,67.4,1387.1,34.4,2504.2,219.2,785.4,1403.8,2477,195,77.4,9.8
0.049500,770.6,72.9,1389.8,33.5,2501.2,209.0,784.1,1405.3,2470.8,194.9,77.6,10.3
0.051500,771.4,81.3,1391.9,34.6,2500.2,205.1,780.5,1402,2475.5,194.9,77.8,10.8
0.053500,774.2,95.6,1394.4,38.2,2502.8,206.6,775.2,1395.4,2490.4,194.9,77.9,11
0.055500,778.3,114.3,1397.3,43.6,2507.7,210.9,769.3,1388,2512.7,194.9,78,10.9
0.057500,781.5,133.9,1400.8,50.6,2515.7,218.4,764.2,1382.5,2538.3,194.8,77.9,10.7
0.059500,781.3,146.9,1404.3,58.9,2528.3,228.8,760.9,1381.6,2562.3,194.8,77.7,10.4
0.061500,777.4,150.9,1407.6,70.6,2546.2,240.0,760.1,1387.2,2580.2,194.7,77.4,9.9
0.063500,771.0,145.9,1410.7,87.0,2565.4,250.6,761.9,1400.2,2588.6,194.7,77.1,9.5
0.065500,764.0,135.3,1415.5,108.5,2582.3,263.9,765.9,1420.3,2586,194.6,76.6,9
0.067500,756.8,121.8,1426.3,136.3,2596.1,287.6,771,1445.5,2573.1,194.5,76.2,8.4
0.069500,751.5,113.4,1444.9,165.5,2601.3,327.6,775.6,1473.2,2552.7,194.4,75.8,7.7
0.071500,750.5,119.7,1474.3,198.7,2588.6,399.0,778,1499.9,2529.1,194.4,75.6,7
0.073500,755.5,142.2,1509.4,224.5,2535.5,470.9,776.7,1521.9,2507.2,194.3,75.4,6.2
0.075500,763.5,172.9,1534.9,227.6,2467.5,488.7,770.6,1536.6,2491.7,194.2,75.2,5.3
0.077500,772.4,208.5,1549.6,216.4,2434.9,489.1,759.2,1542.2,2485.9,194.1,75.1,4.1
0.079500,773.5,232.7,1556.0,204.1,2444.9,510.3,743,1538.4,2491,194,74.8,2.9
0.081500,757.8,229.0,1555.4,192.2,2482.9,543.5,723.5,1526.5,2506.2,193.8,74.5,2
0.083500,728.6,198.9,1545.3,186.2,2532.8,568.1,702.5,1509.3,2528.5,193.7,74.1,1.5
0.085500,696.9,168.4,1522.0,194.4,2572.8,576.3,682.5,1490.3,2553.4,193.6,73.5,1.5
0.087500,664.2,149.9,1478.8,215.2,2592.6,570.4,666.1,1473.2,2576,193.5,73,1.8
0.089500,634.9,141.7,1432.5,225.2,2597.7,572.8,655.2,1461.4,2591.6,193.3,72.4,2.5
0.091500,610.5,137.2,1405.0,218.3,2604.0,623.4,651.4,1457.2,2597.2,193.2,71.8,3.2
